"第3表食中毒事件・患者・死者数,原因施設・都道府県－保健所設置市及び特別区（再掲）別  都道府県名等 全国    2024年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,,,家庭,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,病院,,,病院,,,病院,,,病院,,,旅館,,,飲食店,,,販売店,,,製造所,,,仕出屋,,,採取場所,,,その他,,,不明,,
,,,,,,,総数,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,寄宿舎,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,事業所等,,,保育所,,,老人ホーム,,,,,,,,,,,,単独調理場,,,単独調理場,,,単独調理場,,,単独調理場,,,共同調理場,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼稚園,,,小学校,,,中学校,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
静岡県,13,315,-,-,-,-,1,18,-,-,-,-,-,-,-,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,25,-,1,25,-,-,-,-,-,-,-,1,26,-,8,171,-,-,-,-,-,-,-,1,74,-,-,-,-,-,-,-,1,1,-
愛知県,38,592,-,2,2,-,3,57,-,-,-,-,-,-,-,2,35,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,1,12,-,-,-,-,-,-,-,-,-,-,24,482,-,1,1,-,-,-,-,2,33,-,-,-,-,-,-,-,5,5,-
三重県,7,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
滋賀県,7,162,-,-,-,-,1,36,-,-,-,-,-,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,93,-,-,-,-,-,-,-,2,33,-,-,-,-,-,-,-,-,-,-
京都府,22,318,-,3,12,-,1,23,-,-,-,-,-,-,-,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,70,-,1,70,-,-,-,-,-,-,-,-,-,-,13,148,-,2,2,-,1,29,-,1,34,-,-,-,-,-,-,-,-,-,-
大阪府,49,718,-,1,1,-,4,185,-,1,52,-,-,-,-,2,87,-,-,-,-,1,46,-,2,43,-,-,-,-,2,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,63,-,34,397,-,1,1,-,2,15,-,-,-,-,-,-,-,-,-,-,3,13,-
兵庫県,35,875,-,-,-,-,1,17,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,25,521,-,-,-,-,2,104,-,3,194,-,-,-,-,2,30,-,1,1,-
奈良県,3,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
和歌山県,11,265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,111,-,-,-,-,1,3,-,4,151,-,-,-,-,-,-,-,-,-,-
鳥取県,9,22,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-
