都道府県,総数-事件,総数-患者,総数-死者,魚介類-総数-事件,魚介類-総数-患者,魚介類-総数-死者,貝類-事件,貝類-患者,貝類-死者,ふぐ-事件,ふぐ-患者,ふぐ-事件,魚介類-その他-事件,魚介類-その他-患者,魚介類-その他-死者,魚介類加工品-ぞ件,魚介類加工品-患者,魚介類加工品-死者,魚介類加工品-魚肉練り製品-事件,魚肉練り製品-患者,魚肉練り製品-死者,魚介類加工品-その他-事件,魚介類加工品-その他-患者,魚介類加工品-その他-死者,肉類及びその加工品-事件,肉類及びその加工品-患者,肉類及びその加工品-死者,卵類及びその加工品-事件,卵類及びその加工品-患者,卵類及びその加工品-死者,乳類及びその加工品-事件,乳類及びその加工品-患者,乳類及びその加工品-死者,穀類及びその加工品-事件,穀類及びその加工品-患者,穀類及びその加工品-死者,野菜及びその加工品-総数-事件,野菜及びその加工品-総数-患者,野菜及びその加工品-総数-死者,豆類-事件,豆類-患者,豆類-死者,きのこ類-事件,きのこ類-患者,きのこ類-死者,野菜及びその加工品-その他-事件,野菜及びその加工品-その他-患者,野菜及びその加工品-その他-死者,菓子類-事件,菓子類-患者,菓子類-死者,複合調理食品-事件,複合調理食品-患者,複合調理食品-死者,その他-総数-事件,その他-総数-患者,その他-総数-死者,その他-食品特定-事件,その他-食品特定-患者,その他-食品特定-死者,その他-食事特定-事件,その他-食事特定-患者,その他-食事特定-死者,不明-事件,不明-患者,不明-死者
島根県,14,578,-,5,5,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,396,-,5,170,-,-,-,-,5,170,-,3,7,-
岡山県,9,296,-,2,12,-,-,-,-,1,1,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,284,-,-,-,-,7,284,-,-,-,-
広島県,14,261,-,5,27,-,-,-,-,1,1,-,4,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,233,-,-,-,-,8,233,-,1,1,-
山口県,16,131,-,6,27,-,2,17,-,1,1,-,3,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,1,82,-,3,15,-,-,-,-,3,15,-,5,6,-
徳島県,5,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,1,8,-,-,-,-,-,-,-,1,104,-,3,86,-,-,-,-,3,86,-,-,-,-
香川県,11,160,-,2,19,-,-,-,-,-,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,7,127,-,2,18,-,5,109,-,1,5,-
愛媛県,13,207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,12,201,-,-,-,-,12,201,-,-,-,-
高知県,17,132,-,5,5,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,1,2,-,1,2,-,-,-,-,-,-,-,9,120,-,-,-,-,9,120,-,1,3,-
福岡県,67,499,-,28,80,-,2,54,-,1,1,-,25,25,-,-,-,-,-,-,-,-,-,-,1,22,-,-,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,1,51,-,-,-,-,1,5,-,24,327,-,4,37,-,20,290,-,12,14,-
佐賀県,8,62,-,5,20,-,-,-,-,-,-,-,5,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,42,-,1,7,-,2,35,-,-,-,-
長崎県,10,99,-,5,22,-,-,-,-,-,-,-,5,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,77,-,-,-,-,5,77,-,-,-,-
熊本県,8,114,-,4,49,-,1,39,-,-,-,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,65,-,-,-,-,4,65,-,-,-,-
大分県,10,661,-,5,39,-,-,-,-,-,-,-,5,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,4,605,-,-,-,-,4,605,-,-,-,-
宮崎県,14,26,-,11,13,-,-,-,-,-,-,-,11,13,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
鹿児島県,10,251,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,97,-,7,153,-,3,57,-,4,96,-,-,-,-
沖縄県,26,218,-,6,8,-,-,-,-,-,-,-,6,8,-,-,-,-,-,-,-,-,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,160,-,-,-,-,8,160,-,11,30,-
(再掲),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
札幌市,20,299,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,7,283,-,-,-,-,7,283,-,12,14,-
