,総数,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,細菌,,,ウイルス,,,ウイルス,,,ウイルス,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,寄生虫,,,化学物質,,,自然毒,,,自然毒,,,自然毒,,,その他,,,不明,,
,,,,総数,,,サルモネラ属菌,,,ぶどう球菌,,,ボツリヌス菌,,,腸炎ビブリオ,,,腸管出血性大腸菌（ＶＴ産生）,,,その他の病原大腸菌,,,ウエルシュ菌,,,セレウス菌,,,エルシニア・エンテロコリチカ,,,カンピロバクター・ジェジュニ／コリ,,,ナグビブリオ,,,コレラ菌,,,赤痢菌,,,チフス菌,,,パラチフスＡ菌,,,その他の細菌,,,総数,,,ノロウイルス,,,その他のウイルス,,,総数,,,クドア,,,サルコシスティス,,,アニサキス,,,その他の寄生虫,,,化学物質,,,総数,,,植物性自然毒,,,動物性自然毒,,,,,,,,
,総数-事件,総数-患者,総数-死者,細菌-総数-事件,細菌-総数-患者,細菌-総数-死者,サルモネラ菌-事件,サルモネラ菌-患者,サルモネラ菌-死者,ぶどう球菌-事件,ぶどう球菌-患者,ぶどう球菌-死者,ボツリヌス菌-事故,ボツリヌス菌-患者,ボツリヌス菌-死者,腸炎ビブリオ-事件,腸炎ビブリオ-患者,腸炎ビブリオ-死者,腸管出血性大腸菌（ＶＴ産生）-事件,腸管出血性大腸菌（ＶＴ産生）-患者,腸管出血性大腸菌（ＶＴ産生）-死者,その他の病原大腸菌-事件,その他の病原大腸菌-患者,その他の病原大腸菌-死者,ウエルシュ菌-事件,ウエルシュ菌-患者,ウエルシュ菌-死者,セレウス菌-事件,セレウス菌-患者,セレウス菌-死者,エルシニア・エンテロコリチカ-z事件,エルシニア・エンテロコリチカ-患者,エルシニア・エンテロコリチカ-死者,カンピロバクター・ジェジュニ／コリ-事件,カンピロバクター・ジェジュニ／コリ-患者,カンピロバクター・ジェジュニ／コリ-死者,ナグビブリオ-事件,ナグビブリオ-患者,ナグビブリオ-死者,コレラ菌-事件,コレラ菌-患者,コレラ菌-死者,赤痢菌-事件,赤痢菌-患者,赤痢菌-死者,チフス菌-事件,チフス菌-患者,チフス菌-死者,パラチフスＡ菌-事件,パラチフスＡ菌-患者,パラチフスＡ菌-死者,その他の細菌-事件,その他の細菌-患者,その他の細菌-死者,ウイルス-総数-事件,ウイルス-総数-患者,ウイルス-総数-死者,ノロウイルス-事件,ノロウイルス-患者,ノロウイルス-死者,その他のウイルス-事件,その他のウイルス-患者,その他のウイルス-死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
山梨県,9,64,-,3,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,1,8,-,-,-,-,3,9,-,1,7,-,-,-,-,2,2,-,-,-,-,-,-,-,2,4,-,2,4,-,-,-,-,-,-,-,-,-,-
長野県,21,407,1,7,266,-,1,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,200,-,-,-,-,-,-,-,3,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,83,-,3,83,-,-,-,-,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,1,47,-,4,5,1,4,5,1,-,-,-,-,-,-,-,-,-
岐阜県,20,486,-,5,20,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,433,-,10,433,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,3,-,1,3,-,-,-,-,1,27,-,-,-,-
静岡県,13,315,-,4,55,-,1,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,259,-,8,259,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
愛知県,38,592,-,12,99,-,3,43,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,7,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,459,-,13,459,-,-,-,-,11,32,-,2,23,-,-,-,-,9,9,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,1,1,-
三重県,7,177,-,5,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,85,-,-,-,-,-,-,-,4,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,23,-,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
滋賀県,7,162,-,3,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,76,-,-,-,-,-,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,71,-,4,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
京都府,22,318,-,6,57,-,-,-,-,1,29,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,4,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,252,-,9,252,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,2,4,-,2,4,-,-,-,-,-,-,-,-,-,-
大阪府,49,718,-,27,299,-,2,11,-,1,28,-,-,-,-,-,-,-,-,-,-,1,3,-,3,146,-,-,-,-,-,-,-,20,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,361,-,14,361,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,5,55,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
兵庫県,35,875,-,15,280,-,2,44,-,1,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,564,-,15,564,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,2,-,1,2,-,-,-,-,-,-,-,2,27,-
